Agency,Parent CN ID,CN ID,Publish Date,Amendment Date,Status,StartDate,EndDate,Value,Description,Agency Ref. ID,Category,Procurement Method,ATM ID,SON ID,Confidentiality - Contract,Confidentiality - Contract Reason(s),Confidentiality - Outputs,Confidentiality - Outputs Reason(s),Consultancy,Consultancy Reason(s),Amendment Reason,Supplier Name,Supplier Address,Supplier City,Supplier Postcode,Supplier Country,Supplier ABNExempt,Supplier ABN,Agency Branch,Agency Divison,Agency Postcode
Department of Defence,,CN1118692,2013-01-02, ,published,2012-06-27,2012-06-30,13473.70,Building Construction,4500845636,Building construction and support and maintenance and repair services,Open tender,RFT CONTRACT NO. SQ01/04,,No,,No,,No,,,SPOTLESS SQ TRUST ACCOUNT,549 ST KILDA ROAD,MELBOURNE,3004,AUSTRALIA,No,83072293880,DSG Defence Support Operations Division,Australian Capital Territory,4051
Department of Defence,,CN1118702,2013-01-02, ,published,2012-10-05,2013-02-28,71995.00,Provision of specialist system support,4500842219,Management advisory services,Open tender,,SON72163,No,,No,,No,,,SOUTHERN CROSS COMPUTING PTY LTD,PO Box 1090,WODEN,2606,AUSTRALIA,No,71008626131,DSG Office of Chief Executive,Australian Capital Territory,2600
Department of Defence,,CN1118712,2013-01-02, ,published,2012-12-18,2013-12-20,117453.60,RAAF Base Amberley redevelopment Stage 3 Package 6 Passive Defence Augmentation,4500840970,Building construction and support and maintenance and repair services,Open tender,AZ5240,,No,,No,,No,,,AURECON AUSTRALIA PTY LTD,PO Box 321,SOUTH MELBOURNE,3205,AUSTRALIA,No,54005139873,DSG Infrastructure Division,Australian Capital Territory,2600
Department of Defence,,CN1118722,2013-01-02, ,published,2012-02-02,2013-06-30,75883.70,Upgrade critical fire protection systems in hanger,4500837489,Building construction and support and maintenance and repair services,Open tender,,,No,,No,,No,,,SPOTLESS P&F 14 DAY TRUST  A/C,RIVERSIDE RD,EAST FREMANTLE,6158,AUSTRALIA,No,83072293880,DSG Infrastructure Division,Australian Capital Territory,6158
Department of Defence,,CN1118732,2013-01-02, ,published,2012-08-09,2013-06-30,170148.00,ID1052E01/2011 - LEGAL SERVICES,4500835068,Legal services,Open tender,,SON125,No,,No,,Yes,Need for specialised or professional skills,,CLAYTON UTZ,PO Box H3,SYDNEY,1215,AUSTRALIA,No,35740217343,DSG Office of Chief Executive,Australian Capital Territory,2600
Department of Defence,,CN1118752,2013-01-02, ,published,2012-11-19,2013-06-30,29893.11,Land Acquisition,4500825482,Management advisory services,Open tender,,,No,,No,,No,,,UNITED GROUP SERVICES PTY LTD,PO Box 1511,WODEN,2606,AUSTRALIA,No,77074196991,DSG Infrastructure Division,Australian Capital Territory,2600
Department of Defence,,CN1118772,2013-01-02, ,published,2012-10-03,2013-06-30,240391.50,Provision of Strategic Change Advice and Lean Methodology Implementation,4500818297,Management advisory services,Open tender,,SON48590,No,,No,,No,,,PRICEWATERHOUSECOOPERS LEGAL,PO Box GPO 447,CANBERRA,2601,AUSTRALIA,No,52780433757,Air Force Executive Sub-Group,Australian Capital Territory,2134
Department of Defence,,CN1118782,2013-01-02, ,published,2012-12-06,2012-12-31,38500.00,Logistic Services Support,4500811374,Management advisory services,Open tender,,SON48590,No,,No,,No,,,KPMG,PO Box 2291U,MELBOURNE,3001,AUSTRALIA,No,51194660183,VCDF Joint Logistics Command,Australian Capital Territory,3006
Department of Defence,,CN1118792,2013-01-02, ,published,2012-11-21,2013-06-30,25968.39,Computer System Update,4500801372,Forensic IT Services,Open tender,,,No,,No,,No,,,FUJITSU AUSTRALIA LIMITED,PO Box LB 2062,NORTH RYDE,1670,AUSTRALIA,No,19001011427,Navy Strategic Command,Australian Capital Territory,2620
Department of Defence,,CN1118812,2013-01-02, ,published,2012-12-20,2013-08-20,11000.00,PSYCHOLOGICAL ASSESSMENTS,4500774925,Psychologists services,Open tender,RFT2010/05,SON331686,No,,Yes,Privacy Act 1988,No,,,JODIE VERRALL,PO Box 627,DICKSON,2602,AUSTRALIA,No,87044928372,Intelligence & Security,Australian Capital Territory,2600
Department of Defence,,CN1118822,2013-01-02, ,published,2012-12-20,2013-06-30,62700.00,Platform Hire and Maintenance,4500766730,Building construction and support and maintenance and repair services,Open tender,,,No,,No,,No,,,DEFENCE MAINTENANCE MANAGEMENT,PO Box 1510,SYDNEY,2001,AUSTRALIA,No,81089482093,DSG Defence Support Operations Division,Australian Capital Territory,2000
Department of Defence,,CN1118832,2013-01-02, ,published,2012-12-03,2013-06-30,40455.00,ID1022E01/2009 - Legal Services,4500765420,Legal services,Open tender,,SON125,No,,No,,Yes,Need for specialised or professional skills,,SPARKE HELMORE,PO Box 812,NEWCASTLE,2300,AUSTRALIA,No,78848387938,DSG Office of Chief Executive,Australian Capital Territory,5111
Department of Defence,,CN1118842,2013-01-02, ,published,2012-02-23,2013-04-30,11733.69,ID1067/2010 - LEGAL SERVICES,4500765244,Legal services,Open tender,,SON125,No,,No,,Yes,Need for specialised or professional skills,,ASHURST AUSTRALIA,PO Box GPO 9938,SYDNEY,2001,AUSTRALIA,No,75304286095,DSG Office of Chief Executive,Australian Capital Territory,2600
Department of Defence,,CN1118852,2013-01-02, ,published,2012-12-04,2012-12-12,153385.93,"R5043 RAAF Edinburgh Revelopment Stage 2 head contract package 1 civil works, variations",4500764667,Building construction and support and maintenance and repair services,Open tender,AZ4572,,No,,No,,No,,,BMD CONSTRUCTIONS PTY LTD,PO Box 6008,TOWNSVILLE,4810,AUSTRALIA,No,59010126100,DSG Infrastructure Division,Australian Capital Territory,2600
Department of Defence,,CN1118872,2013-01-02, ,published,2012-12-18,2012-12-31,14686.85,"Design Services for Defence Explosive Store House Enhanced Land Force Stage 1, Mount Stuart Training",4500744540,Commercial or industrial construction,Open tender,AZ4025,,No,,No,,No,,,AECOM,PO Box 1307,FORTITUDE VALLEY,4006,AUSTRALIA,No,20093846925,DSG Infrastructure Division,Australian Capital Territory,2600
Department of Defence,,CN1118912,2013-01-02, ,published,2012-12-13,2013-03-31,729742.62,Labour Hire,4500878508,Temporary personnel services,Open tender,,,Yes,Costing/profit information,No,,No,,,DRAKE AUSTRALIA PTY LTD,PO Box GPO 298,MELBOURNE,3001,AUSTRALIA,No,42004939771,VCDF Joint Logistics Command,Australian Capital Territory,822
Department of Defence,,CN1118922,2013-01-02, ,published,2012-12-13,2012-12-30,196154.55,Removal of stock,4500878501,Commercial or industrial construction,Open tender,RFP AZ5185,,No,,No,,No,,,WATPAC CONSTRUCTION  PTY LTD,PO Box 2053,FORTITUDE VALLEY,4006,AUSTRALIA,No,71010462816,DSG Infrastructure Division,Australian Capital Territory,2600
Department of Defence,,CN1118962,2013-01-02, ,published,2012-12-13,2013-06-28,30800.00,Certification Services,4500878470,Professional engineering services,Open tender,RFT 0910-298,,No,,No,,No,,,DAMENICO CONSULTANTS,34 RIDGELAND DRIVE,TERINGIE,5072,AUSTRALIA,No,36078159716,DSTO Headquarters,Australian Capital Territory,5111
Department of Defence,,CN1119022,2013-01-02, ,published,2012-12-13,2013-05-20,367351.83,Engineering Services,4500878451,Professional engineering services,Open tender,2009/1100454,,No,,No,,No,,,QINETIQ PTY LTD,"LEVEL 3, 210 KINGSWAY",SOUTH MELBOURNE,3205,AUSTRALIA,No,68125805647,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1119032,2013-01-02, ,published,2012-12-13,2013-06-30,75600.00,Provision of Results through People Workshops,4500878448,Education and Training Services,Open tender,,SON200003,No,,No,,No,,,ROSS BEGBIE AND ASSOCIATES PTY LTD,21 PACKER ST,WEETANGERA,2614,AUSTRALIA,No,36008619574,OSCDF International Policy,Australian Capital Territory,2601
Department of Defence,,CN1119062,2013-01-02, ,published,2012-12-13,2013-05-31,210160.01,Strategy Development,4500878407,Strategic planning consultation services,Open tender,RFQTS NO. 8721,,No,,No,,No,,,QINETIQ PTY LTD,BRINDABELLA BUSINESS PARK,MAJURA,2609,AUSTRALIA,No,68125805647,Navy Strategic Command,Australian Capital Territory,2600
Department of Defence,,CN1119072,2013-01-02, ,published,2012-12-13,2013-05-15,100000.00,Provision of Simulation Support to Training,4500878404,Education and Training Services,Open tender,RFT002-HQ11,,No,,No,,No,,,CUBIC DEFENCE AUSTRALIA PTY LTD,PO Box 811,AITKENVALE,4814,AUSTRALIA,No,88122798207,Army 1st Division,Australian Capital Territory,4051
Department of Defence,,CN1119142,2013-01-02, ,published,2012-12-14,2013-03-29,68153.21,Project Definition Study RAAF Williams,4500878678,Management support services,Open tender,,SON379715,No,,No,,No,,,THE FRAME GROUP PTY LIMITED,PO Box 4647,SYDNEY,2000,AUSTRALIA,No,48095369403,CIOG ICTOD,Australian Capital Territory,2600
Department of Defence,,CN1119152,2013-01-02, ,published,2012-12-14,2013-06-30,123922.50,Upgrade to Virtual Maritime System,4500878654,Professional engineering services,Open tender,,SON194441,No,,No,,No,,,SAAB SYSTEMS PTY LTD,21 THIRD AV TECHNOLOGY PARK,MAWSON LAKES,5095,AUSTRALIA,No,88008643212,DSTO Platforms & Human Systems,Australian Capital Territory,5111
Department of Defence,,CN1119182,2013-01-02, ,published,2012-12-14,2013-01-07,23500.95,Furniture for live-in accommodation,4500878642,Furniture,Open tender,,SON452911,No,,No,,No,,,AUSTRALIAN BEDDING COMPANY PTY LTD,2/78 HOSKINS ST,MITCHELL,2911,AUSTRALIA,No,62075106473,DSG Defence Support Operations Division,Australian Capital Territory,3662
Department of Defence,,CN1119202,2013-01-02, ,published,2012-12-14,2013-04-30,250584.35,Site Integration Services at Army Holesworthy,4500878633,Management support services,Open tender,,SON379715,No,,No,,No,,,CDM,LVL 1 / BLDG 1 - 169 GLADSTONE,FYSHWICK,2609,AUSTRALIA,No,15053788720,CIOG ICTOD,Australian Capital Territory,2600
Department of Defence,,CN1119212,2013-01-02, ,published,2012-12-14,2013-04-30,70677.64,Site Integration Services at Army Holesworthy,4500878622,Management support services,Open tender,,SON379715,No,,No,,No,,,CDM,LVL 1 / BLDG 1 - 169 GLADSTONE,FYSHWICK,2609,AUSTRALIA,No,15053788720,CIOG ICTOD,Australian Capital Territory,2600
Department of Defence,,CN1119222,2013-01-02, ,published,2012-12-14,2013-01-23,17600.00,Office Furniture - Clerical chairs,4500878618,Office furniture,Open tender,,,No,,No,,No,,,STURDY FRAMAC,40 WOLLONGONG STREET,FYSHWICK,2609,AUSTRALIA,No,69000624984,DSG Defence Support Operations Division,Australian Capital Territory,2601
Department of Defence,,CN1119232,2013-01-02, ,published,2012-12-14,2013-04-30,213996.84,Software Development,4500878617,Software,Open tender,,,No,,No,,No,,,THALES AUSTRALIA,PO Box 158,DEAKIN WEST,2600,AUSTRALIA,No,66008642751,VCDF Joint Capability Coordination Division,Australian Capital Territory,2601
Department of Defence,,CN1119282,2013-01-02, ,published,2012-12-13,2013-03-31,35021.06,Labour Hire,4500878534,Temporary personnel services,Open tender,,SON341946,No,,No,,No,,,DRAKE AUSTRALIA PTY LTD,PO Box GPO 298,MELBOURNE,3001,AUSTRALIA,No,42004939771,VCDF Joint Logistics Command,Australian Capital Territory,4171
Department of Defence,,CN1119292,2013-01-02, ,published,2012-12-13,2013-03-31,52531.56,Labour Hire,4500878533,Temporary personnel services,Open tender,,SON341946,No,,No,,No,,,DRAKE AUSTRALIA PTY LTD,PO Box GPO 298,MELBOURNE,3001,AUSTRALIA,No,42004939771,VCDF Joint Logistics Command,Australian Capital Territory,4171
Department of Defence,,CN1119302,2013-01-02, ,published,2012-12-13,2013-03-31,44002.27,Labour Hire,4500878531,Temporary personnel services,Open tender,,SON341946,No,,No,,No,,,DRAKE AUSTRALIA PTY LTD,PO Box GPO 298,MELBOURNE,3001,AUSTRALIA,No,42004939771,VCDF Joint Logistics Command,Australian Capital Territory,4171
Department of Defence,,CN1119312,2013-01-02, ,published,2012-12-13,2013-03-31,35050.09,Labour Hire,4500878528,Temporary personnel services,Open tender,,SON341946,No,,No,,No,,,DRAKE AUSTRALIA PTY LTD,PO Box GPO 298,MELBOURNE,3001,AUSTRALIA,No,42004939771,VCDF Joint Logistics Command,Australian Capital Territory,4171
Department of Defence,,CN1119332,2013-01-02, ,published,2012-12-11,2014-01-31,483644.00,Logistics Service Support,4500878229,Management advisory services,Open tender,,SON48590,No,,No,,No,,,KPMG,PO Box 2291U,MELBOURNE,3001,AUSTRALIA,No,51194660183,VCDF Joint Logistics Command,Australian Capital Territory,3006
Department of Defence,,CN1119352,2013-01-02, ,published,2012-12-11,2013-06-30,194938.85,Engineering support services,4500878214,Manufacturing support services,Open tender,2009/1100454,,No,,No,,No,,,QINETIQ PTY LTD,"LEVEL 3, 210 KINGSWAY",SOUTH MELBOURNE,3205,AUSTRALIA,No,68125805647,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1119402,2013-01-02, ,published,2012-12-11,2013-01-25,10165.10,Printing of the valour inquiry report,4500878161,Printing,Open tender,RFTS 09/0090,,No,,No,,No,,,INSTANT COLOUR PRESS,PO Box 3303 BMC,BELCONNEN,2617,AUSTRALIA,No,71008618031,DSG Office of Chief Executive,Australian Capital Territory,2609
Department of Defence,,CN1119532,2013-01-02, ,published,2012-12-10,2013-02-18,140063.00,Open Microfocus X-Ray System,4500878041,Laboratory and scientific equipment,Open tender,RFQ2012-039,,No,,No,,No,,,DIFFRACTION TECHNOLOGY PTY LTD,194 MT ELIZA WAY,MT ELIZA,3930,AUSTRALIA,No,15056506248,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1119542,2013-01-02, ,published,2012-12-10,2015-01-20,329999.90,Education and training projects,4500878032,Temporary personnel services,Open tender,,SON442663,No,,No,,No,,,MOSAIC RECRUITMENT,850 WHITEHORSE RD,BOX HILL,3128,AUSTRALIA,No,40124764245,VCDF Asia Pacific CivMil Centre of Excellence,Australian Capital Territory,2620
Department of Defence,,CN1118152,2013-01-02, ,published,2012-09-06,2013-06-30,24500.00,Routine Maintenance costs and services,4500859985,Environmental protection,Prequalified tender,,,No,,No,,No,,,SPOTLESS P & F PTY LTD,BLD 44 CRETE RD,CAMPBELL,2612,AUSTRALIA,No,83072293880,DSG Defence Support Operations Division,Australian Capital Territory,2609
Department of Defence,,CN1118192,2013-01-02, ,published,2012-07-05,2013-06-30,79677.40,Removal of Asbestos,4500851736,Building construction and support and maintenance and repair services,Prequalified tender,RFT CMS-SA01/11,,No,,No,,No,,,MCMAHON SERVICES AUSTRALIA PTY LTD,PO Box 542,ENFIELD PLAZA,5085,AUSTRALIA,No,75097072565,DSG Defence Support Operations Division,Australian Capital Territory,5111
Department of Defence,,CN1118442,2013-01-02, ,published,2012-12-18,2013-12-20,17600.00,Enviromental Consultant for RAAF Base Amberley Redevelopment Stage 3,4500871203,Building construction and support and maintenance and repair services,Prequalified tender,AZ5272,,No,,No,,No,,,COFFEY ENVIRONMENTS PTY LTD,"LEVEL 3, TOWER 1",CHATSWOOD,2067,AUSTRALIA,No,45090522759,DSG Infrastructure Division,Australian Capital Territory,2600
Department of Defence,,CN1118492,2013-01-02, ,published,2012-10-23,2012-12-31,24314.62,Training Delivery,1907957770,Education and Training Services,Prequalified tender,,,No,,No,,No,,,AIR ACADEMY ASSOCIATES LLC DBA AIR,1650 TELSTAR DR STE 110,COLORADO SPRINGS,80920-1009,UNITED STATES,Yes,,CDG,Australian Capital Territory,2600
Department of Defence,,CN1118572,2013-01-02, ,published,2012-11-09,2013-06-30,17290.72,gst payment for satelliite usage,1907956358,Satellites,Prequalified tender,,,No,,No,,No,,,SES NEW SKIES,"LEVEL 31, ABN AMRO BUILDING",SYDNEY,2000,AUSTRALIA,No,85114962248,CIOG ICTOD,Australian Capital Territory,2602
Department of Defence,,CN1118682,2013-01-02, ,published,2012-12-20,2013-06-30,54079.30,Removal of Asbestos Communication Pits and Conduits,4500847040,Building construction and support and maintenance and repair services,Prequalified tender,RFT CMS-SA01/11,,No,,No,,No,,,MYKRA BUILDING SERVICES,7 THAMES AVE,KLEMZIG,5087,AUSTRALIA,No,60061630046,DSG Defence Support Operations Division,Australian Capital Territory,5111
Department of Defence,,CN1118802,2013-01-02, ,published,2012-09-06,2013-06-30,82797.41,EW Engagement Modelling and Sumulation Support,4500775419,Professional engineering services,Prequalified tender,,,No,,No,,No,,,SIMBIANT PTY LTD,48 CHARLES STURT AVE,GRANGE,5022,AUSTRALIA,No,28128367082,Air Force Air Command,Australian Capital Territory,5111
Department of Defence,,CN1118862,2013-01-02, ,published,2010-07-26,2014-03-31,32265.11,Management of the design of additional scope for the Robertson Barracks Redevelopment,4500759601,Building construction and support and maintenance and repair services,Prequalified tender,AZ4413,,No,,No,,No,,,JOHN HOLLAND PTY LTD,PO Box 39643,WINNELLIE,821,AUSTRALIA,No,11004282268,DSG Infrastructure Division,Australian Capital Territory,2600
Department of Defence,,CN1118902,2013-01-02, ,published,2012-12-13,2013-03-13,500000.00,PURCHASE OF GATEWAY BOXES,4500878519,Hardware,Prequalified tender,CIOG498/12,,No,,No,,No,,,DMO - 'INTER-AGENCY TRANSFERS',R2-3-B109,CAMPBELL,2600,AUSTRALIA,No,68706814312,CIOG ICTDD,Australian Capital Territory,2601
Department of Defence,,CN1118932,2013-01-02, ,published,2012-12-13,2013-07-30,44100.02,Office refurbishment and water tank installation,4500878496,Building construction and support and maintenance and repair services,Prequalified tender,,,No,,No,,No,,,SPOTLESS SQ TRUST ACCOUNT,549 ST KILDA ROAD,MELBOURNE,3004,AUSTRALIA,No,83072293880,DSG Defence Support Operations Division,Australian Capital Territory,4051
Department of Defence,,CN1118982,2013-01-02, ,published,2012-12-13,2013-01-25,95459.32,43210000Computer equipment and accessories,4500878465,Computer Equipment and Accessories,Prequalified tender,,,No,,No,,No,,,FRONTLINE SYSTEMS AUSTRALIA,PO Box 1860,CANBERRA,2601,AUSTRALIA,No,61059040998,CIOG ICTOD,Australian Capital Territory,2600
Department of Defence,,CN1119052,2013-01-02, ,published,2012-12-13,2013-06-30,35789.45,Specialist Systems Training,4500878433,Education and Training Services,Prequalified tender,,,No,,No,,No,,,AMOG PTY. LTD,19 BUSINESS PARK DR,NOTTING HILL,3168,AUSTRALIA,No,12065475818,Air Force Executive Sub-Group,Australian Capital Territory,3027
Department of Defence,,CN1119082,2013-01-02, ,published,2012-12-12,2013-09-15,76567.49,FMS PURCHASE OF SOFTWARE,4500878385,Software,Prequalified tender,,,No,,No,,No,,,FMS ACCOUNT,ABA NO: 021083129,NEW YORK,10000,UNITED STATES,Yes,,CIOG ICTOD,Australian Capital Territory,2602
Department of Defence,,CN1119132,2013-01-02, ,published,2012-12-14,2013-06-30,41562.46,Building Refurbishment,4500878681,Refurbishing services,Prequalified tender,,,No,,No,,No,,,SPOTLESS P & F PTY LTD,BLD 44 CRETE RD,CAMPBELL,2612,AUSTRALIA,No,83072293880,DSG Defence Support Operations Division,Australian Capital Territory,2609
Department of Defence,,CN1119462,2013-01-02, ,published,2012-12-11,2013-01-11,53680.00,Purchase of Cores for Gateway,4500878118,Components for information technology or broadcasting or telecommunications,Prequalified tender,,,No,,No,,No,,,DEPARTMENT OF FINANCE,JOHN GORTON BUILLDING,PARKES,2600,AUSTRALIA,No,61970632495,CIOG ICTOD,Australian Capital Territory,2600
Department of Defence,,CN1119552,2013-01-02, ,published,2012-12-12,2013-06-30,160579.10,Fire Break Construction,4500878362,Building construction and support and maintenance and repair services,Prequalified tender,,,No,,No,,No,,,BARLOW'S EARTHMOVING,2816 EMU PARK RD,COOROOMAN,4702,AUSTRALIA,No,74361185998,DSG Defence Support Operations Division,Australian Capital Territory,4051
Department of Defence,,CN1119602,2013-01-02, ,published,2012-12-12,2013-01-31,116658.00,Actuarial Civilian Superannuation Admin Fees,4500878349,Accounting services,Prequalified tender,,,No,,No,,No,,,DEPARTMENT OF FINANCE AND,JOHN GORTON BUILDING,PARKS,2600,AUSTRALIA,No,61970632495,PSPG HPP/DBAM,Australian Capital Territory,2609
Department of Defence,,CN1119652,2013-01-02, ,published,2012-12-12,2013-06-30,135901.70,Research Project,4500878305,Research programs,Limited tender,,,No,,No,,No,,,ADELAIDE RESEARCH & INNOVATION PTY,PO Box 149,RUNDLE MALL,5000,AUSTRALIA,No,80098579684,VCDF Asia Pacific CivMil Centre of Excellence,Australian Capital Territory,2620
Department of Defence,,CN1119722,2013-01-02, ,published,2012-12-12,2013-06-30,136310.49,Business intelligence software development,4500878267,Computer services,Limited tender,,,No,,No,,No,,,BOEHM PTY LIMITED,PO Box 7217,WARRINGAH MALL BROOKVALE,2100,AUSTRALIA,No,70124416431,DSG Office of Chief Executive,Australian Capital Territory,2600
Department of Defence,,CN1119732,2013-01-02, ,published,2012-12-12,2015-11-30,420000.00,Personnel Secondment,4500878250,Temporary personnel services,Limited tender,,,No,,No,,No,,,NEW ZEALAND DEFENCE FORCE,CNR DANTE & ALEXANDER RD,UPPER HUTT,5140,NEW ZEALAND,Yes,,VCDF Asia Pacific CivMil Centre of Excellence,Australian Capital Territory,2620
Department of Defence,,CN1119742,2013-01-02, ,published,2012-12-12,2013-05-31,211990.50,Specialist System Training,4500878247,Education and Training Services,Limited tender,,,No,,No,,No,,,THALES AUSTRALIA,PO Box LB3000,POTTS POINT,2011,AUSTRALIA,No,66008642751,Air Force Air Command,Australian Capital Territory,2314
Department of Defence,,CN1119752,2013-01-02, ,published,2012-12-12,2013-06-28,105248.00,Implementation of performance improvement program,4500878242,Management advisory services,Limited tender,,,No,,No,,No,,,RUBIKON GROUP,PO Box 1799,NEW FARM,4005,AUSTRALIA,No,23135108673,VCDF Joint Logistics Command,Australian Capital Territory,2600
Department of Defence,,CN1119762,2013-01-02, ,published,2012-12-12,2013-07-30,1189523.20,Defence School Transition Aide Program,4500878239,Education and Training Services,Limited tender,,,No,,No,,No,,,NSW DEPART OF EDUCATION &,PO Box 33,SYDNEY,2001,AUSTRALIA,No,40300173822,DSG Defence Support Operations Division,Australian Capital Territory,2600
Department of Immigration and Citizenship,CN369958,CN369958-A1,2011-03-03,2013-01-02,published,2011-01-17,2012-01-17,384585.30, Installation of Security Bollards - 6 Chan St Belconnen ,70002774,Security or access control systems,Limited tender,,,No,,No,,No,,change to contract end date,OZTIME PTY LTD,10/90 BARRIER STREET,FYSHWICK,2609,AUSTRALIA,No,52008631785,Procurement and Contracts Branch,Financial Strategy & Services,2616
Australian Securities and Investments Commission,,CN1119802,2013-01-02, ,published,2013-01-09,2013-02-28,19250.00, Next Generation Desktop - Jumbo Frames Implementation  Ref A3705850 ,5210,Computer hardware maintenance or support,Limited tender,,,No,,No,,No,,,Logicalis Australia Pty Limited,,Melbourne,3004,AUSTRALIA,No,67089914581,,,2000
Australian Securities and Investments Commission,,CN1119822,2013-01-02, ,published,2012-12-22,2013-12-21,736650.20, Provision of Video Conferencing Services  ISP2009/26993 ,5208,Components for information technology or broadcasting or telecommunications,Limited tender,,,No,,No,,No,,,Electroboard Solutions Pty Ltd,PO Box 4444,St Leonards,2065,AUSTRALIA,No,47118842372,,,2000
Australian Securities and Investments Commission,,CN1119832,2013-01-02, ,published,2013-01-01,2013-12-31,53762.50, Oracle Sun StorageTek Hardware & Software Maintenance  Ref  ITS2011/006913 ,5204,Software maintenance and support,Limited tender,,,No,,No,,No,,,MCR Computer Resources Pty Ltd,PO Box 841,North Sydney,2060,AUSTRALIA,No,74003647943,,,2000
Australian Securities and Investments Commission,,CN1119842,2013-01-02, ,published,2012-12-15,2013-03-15,79200.00, IT Project Design Specialist  Ref  A353052 ,5203,Information technology consultation services,Limited tender,,,No,,No,,Yes,Need for specialised or professional skills,,Robinson Ryan Pty Ltd,,Surry Hills,2010,AUSTRALIA,No,62126118269,,,2000
Department of Foreign Affairs and Trade,,CN1119872,2013-01-02, ,published,2012-08-24,2013-08-31,457993.00,Provision of Building Construction and Support and Maintenance and Repair Services,CN240812-OPOPPB0137,Building construction and support and maintenance and repair services,Limited tender,DFAT07-OPO-006,,No,,No,,No,,,WOODS BAGOT PTY LTD,"Level 10, 17 York Street",Sydney,2000,Australia,No,41007762174,FMB,CMD,221
Department of Foreign Affairs and Trade,,CN1119892,2013-01-02, ,published,2013-03-01,2013-03-31,30000.00,Provision of Hotel Rooms,CN010313-ILDILB0011,Hotel rooms,Limited tender,,,No,,No,,No,,,MULPHA HOTEL LTD,117 Macquarie Street,Sydney,2000,Australia,No,17070662627,FMB,CMD,221
Department of Foreign Affairs and Trade,,CN1119912,2013-01-02, ,published,2012-07-01,2017-06-30,1177163.26,Provision of Telecommunications Media Services,CN010712-IMDOCI0021,Telecommunications media services,Limited tender,,,No,,No,,No,,,SENSIS PTY LTD,490 Northbourne Avenue,Dickson,2602,Australia,No,30007423912,FMB,CMD,221
Department of Foreign Affairs and Trade,,CN1119942,2013-01-02, ,published,2013-01-31,2014-01-30,79596.57,Provision of Education and Training Services,CN310113-CMDSFB0018,Education and Training Services,Limited tender,,,No,,No,,No,,,ROSETTA STONE LTD,135 West Market Street,Harrisonburg,22801,UNITED STATES,Yes,,FMB,CMD,221
Department of Foreign Affairs and Trade,,CN1119962,2013-01-02, ,published,2012-11-01,2014-05-31,100000.00,Provision of Information Technology Consultation Services,CN011112-APOPBB0024,Information technology consultation services,Limited tender,,,No,,No,,No,,,DEPARTMENT OF DEFENCE,"Land Operations Division (75 Labs), Defence Science And Technology Organisation, Po Box 1500",Edinburgh,5111,Australia,No,68706814312,FMB,CMD,221
Department of Education Employment and Workplace Relations,CN975051,CN975051-A2,2012-10-18,2013-01-02,published,2012-09-17,2013-02-01,71500.00, Engagement of temporary personnel services ,CRN85660,Temporary personnel services,Limited tender,PRN28534,,No,,No,,No,,Amended end date,HAYS PERSONNEL SERVICES,"LEVEL 5, 54 MARCUS CLARKE STREET",CANBERRA,2601,AUSTRALIA,No,47001407281,STRATEGIC POLICY COORDINATION BRANCH,EARLY CHILDHOOD STRATEGY GROUP,2601
Department of Education Employment and Workplace Relations,CN470515,CN470515-A3,2012-03-14,2013-01-02,published,2012-02-23,2012-12-08,76483.00, Provision of specialised Drupal services to redevelop and upgrade the JobAccess website and delivery of on site training ,CRN84971,Professional engineering services,Limited tender,PRN27989,,No,,No,,No,,Amended value,Osky Interactive,49 Harricks Crescent,Monash,2904,AUSTRALIA,No,96560826053,Business Enabling Branch,Technology Solutions Group,2601
National Archives of Australia,,CN1120012,2013-01-02, ,published,2012-10-19,2012-12-10,59166.67,Supply and install vinyl,POC10335-PO1200083,Flooring service,Limited tender,,,No,,No,,No,,,Peter Kelly Flooring Pty Ltd,Unit 9 No 6 Gladstone Road,CASTLE HILL,2154,Australia,No,32011276658,Corporate Services,National Archives,2600
National Archives of Australia,,CN1120022,2013-01-02, ,published,2012-12-18,2013-06-30,10296.00,Quantity 4 x skids of NAA Archival Foolscap Folders,POC10340-PO1200088,File storage boxes or containers,Limited tender,,,No,,No,,No,,,ROLLS FILING SYSTEMS,44 BARDIA AVENUE,SEAFORD,3198,Australia,No,19640112050,Corporate Services,National Archives,2600
National Archives of Australia,,CN1120032,2013-01-02, ,published,2012-09-17,2014-11-30,49500.00,Exhibiton fee for Waterhouse Natural History Art Prize,POC10343-PO1200091,Exhibitions,Limited tender,,,No,,No,,No,,,South Australian Museum,North Terrace,ADELAIDE,5000,Australia,No,39808959302,Corporate Services,National Archives,2600
National Archives of Australia,,CN1120042,2013-01-02, ,published,2012-12-17,2013-03-31,53580.63,Analysis of Check-up 2.0 2012 survey data,POC10342-PO1200090,Business intelligence consulting services,Limited tender,,,No,,No,,Yes,Need for specialised or professional skills,,ORIMA RESEARCH,PO Box 7543,Melbourne,8004,Australia,No,77076347914,Corporate Services,National Archives,2600
