Description,ECCN1,ECCN2,ECCN3,ECCN4,ECCN5
Monolithic integrated circuit repair or trimming laser equipment,3B991b1m,,,,
Monospectral imaging sensors,6A002b,,,,
Motion control boards for machine tools,2B991b,,,,
Motion simulators or rate tables,2B120,,,,
Multi-chamber central wafer handling systems,3B001e,,,,
Multi-channel interval meter,3A999e2,,,,
Multichip modules,3A611h,3A611y16,,,
"Multi-data-stream processing equipment, development or production technology for",4E993b,,,,
Multi-element detector arrays,6A002a3,,,,
Multi-layer hetero-epitaxial material substrates & wafers,3C001,,,,
"Multi-layer masks (with phase shift layer), for integrated circuits",3B001h,,,,
Multichip integrated circuits,3A001a Note 2,,,,
Multichip modules,3A611h,3A611y16,,,
"Multilevel security capability, equipment",5A002a6,,,,
"Multimode optical fiber & cables, high tensile strength",5A001c,,,,
Multiple-seal pump,2B350i,,,,
Multiplex equipment,5A991b Note a7,,,,
Multipoint initiation systems,3A232b,,,,
Multipoint restraint devices,0A982,,,,
Multispectral imaging sensors,6A002b,,,,
Multistage light gas gun systems,2B232,,,,
Multi-walled piping incorporating a leak detection port,2B350h,,,,
Murray Valley encephalitis virus,1C351a24,,,,
"Mycoplasma capricolum subspecies capripneumoniae (“strain F38"")",1C352b1b,,,,
Mycoplasma mycoides subspecies mycoides SC (small colony) (a.k.a. contagious bovine pleuropneumonia),1C352b1a,,,,
"N,N-diisopropyl-beta-aminoethane thiol",1C350b6,,,,
"N,N-diisopropyl-(beta)-amino ethanol",1C350b8,,,,
"N,N-diisopropyl-beta-aminoethyl chloride",1C350b9,,,,
"N,N-diisopropyl-(beta)-aminoethyl chloride hydrochloride",1C350b7,,,,
"NBC (Nuclear, biological and chemical) detection system software",1D003,,,,
"NBC (Nuclear, biological and chemical) detection system libraries or parametric technical databases",1E002g,,,,
NN-Diphenylurea (unsymmetrical diphenylurea),1C018b,,,,
Name plates and identification plates,3A611y33,,,,
Nanocrystalline alloy strips,1C003c,,,,
Natural gas liquids and derivatives produced or derived from Naval Petroleum Reserves,1C983,,,,
Naval Petroleum Reserves,1C983,,,,
"Navigation, airborne comm. & other avionics equip. technology",7.00E+04,7E994,0E521 No 6,,
"Navigation, airborne communication and other avionics software",7D004,7D994,0D521 No 2,,
"Navigation/avionics equipment, systems, parts, components … for military",7A611,3A611,,,
Navigation direction finding equipment,7A004-7A008,7A103-7A105,7A994,,
"Navigation systems, equipment & components, inertial",7A103,,,,
"Navigation systems, equipment & components, inertial",7A003,,,,
"Navigation systems, equipment, parts … for military not on USML",7A611,3A611,,,
"Navigation systems, underwater sonar",7A008,,,,
NDT (non-destructive test) inspection equipment (3D),1B001f,,,,
NDT (non-destructive test) inspection equipment,9B007,,,,
Neodymium lasers,6A005d6,,,,
Neodymium lasers,6A205f,,,,
Nets (submarine or torpedo),8A620e,,,,
Network analyzers,3A002e,,,,
Network access controllers contained in computer equipment,4A994i,,,,
Network access controllers contained in telecommunications,5A991b4a,,,,
Neural computers/assemblies/components,4A004b,,,,
Neural network integrated circuits,3A001a9,,,,
Neutron generator systems & tubes,3A231,,,,
"Neutronic calculations/modeling, software for",0D999a,,,,
Newcastle disease virus,1C352a9,,,,
Nickel alloy,1C002a2a,,,,
Nickel alloy/powder or particulate form,1C002b1a,,,,
Nickel aluminides,1C002a1a,,,,
Nickel based alloys,1C002a1,,,,
Nickel electroplating equipment,2B999i,,,,
Nickel metal (made from powder),1C240,,,,
Nickel powder,1C240,,,,
Night vision devices,6A002a2,"6A003b3, b4",6A202,6A203,
Night vision technology,6.00E+02,6.00E+101,,,
Niobium alloys,1C002a2b,,,,
Niobium alloy/powder or particulate form,1C002b1b,,,,
Nipah virus,1C351a25,,,,
"3-Nitraza-1,5 pentane diisocyanate",1C018l,,,,
Nitric acid,1C999e,,,,
Nitrided niobium-titanium-tungsten alloy crucibles,2A225a7,,,,
2-Nitrodiphenylamine,1C11c3,1C018h,,,
Nitrogen dioxide (dinitrogen tetroxide),1C111a3b,,,,
Nitroglycerin (in medicinal form),1C992l,,,,
Nitroguanidine,1C011d,,,,
P-Nitromethylaniline,1C018i,,,,
"N,N-Dialkyl (Me, Et, n-Pr or i-Pr) aminoethyl-2-clorides and corresponding protonated salts",1C355a2d,,,,
"N,N-Dialkyl (Me, Et, n-Pr or i-Pr) aminoethane-2-ols and corresponding protonated salts",1C355a2e,,,,
"N,N-Dialkyl (Me, Et, n-Pr or i-Pr) aminoethane-2-thiols and corresponding protonated salts",1C355a2f,,,,
"N,N-Dialkyl (Me, Et, n-Pr or i-Pr) phosphoramidic dihalides",1C355a2b,,,,
"Noise reduction equipment for vessels, acoustic mounts",8A002o3a,,,,
"Noise cancellation systems for vessels, active",8A002o3b,,,,
"Noise reduction systems for vessels, active",8A002o3b,,,,
Non-destructive inspection equipment,1B001f,,,,
"Non-destructive test inspection equipment, rocket motor",9B007,,,,
Non-fluorinated polymeric substances,1C008,,,,
Non-fluorinated polymeric manufactures,1A003,,,,
"Non-irritant smoke flares, canisters, grenades and charges",1A984,,,,
Non-linear optical materials,6C004c,,,,
Non-planar absorbers,1C001a Note 1b,,,,
Non-tunable continuous wave (CW) lasers,6A005a,6A995e,,,
Non-tunable pulsed lasers,6A005b,6A995d,,,
Non-tunable solid state lasers,6A005a,6A005b,6A995f,,
"Nozzles, for producing pyrolitically derived materials",1B116,,,,
"Nozzles, rocket motor (liquid)",9A106b,,,,
Nuclear material handling and processing equipment,2A291,,,,
"Nuclear materials, facilities, and equipment software",0D001,,,,
"Nuclear plant commodities, parts and accessories",2A291d,,,,
"Nuclear reactor, eddy current test equipment",2A291d,,,,
Nuclear reactor equipment,2A291,,,,
"Nuclear reactor, simulators",2A291b,,,,
"Nuclear reactor, ultrasonic test equipment",2A291d,,,,
Nuclear reactors fuel element (irradiated) reprocessing plant/equipment,0B006,,,,
"Nuclear technology for the development, production or use of nuclear materials, facilities, and equipment",0.00E+00,,,,
Numerical control for machine tools - software,2D002,2D003,,,
Numerical control for machine tools - technology,2E003d,,,,
"Numerical control units for machine tools and numerically controlled machine tools, n.e.s.",2B991,,,,
Numerically controlled machine tools,2B290,,,,
Numerically controlled machine tools that can be equipped with electronic devices for simultaneous contouring control,2B991c,,,,
O-ring for ground vehicles,0A606y9,,,,
Object detection and location systems or transmitting and receiving arrays (acoustic),6A001a1b,,,,
Ocean salvage systems,8A001e,,,,
Off highway wheel tractors,9A990,,,,
"Oil and gas exploration equipment, software, and data",0A998,,,,
Oil well cartridges,1C608f,1C992g,,,
Oil lines and tubes for military gas turbine engines,9A619y2,,,,
Oil tank and reservoirs for military gas turbine engines,9A619y1,,,,
"Oil, lubricating, cutting, or quenching",1C980,,,,
"Oils, distillate fuel",1C980,,,,
Omsk haemorrhagic fever virus,1C351a26,,,,
On-highway tractor,9A990,,,,
"Operating systems for real time processing equipment, software",4D993c,,,,
Operating system software for real time processing equipment,4D993c,,,,
"Optical absorption materials, low",6C994a,,,,
"Optical components, space-qualified",6A004c,,,,
Optical components for lasers,6A005e,,,,
Optical components for lasers,6A004b,,,,
Optical computers,4A004c,,,,
Optical control equipment,6A004d,,,,
"Optical detectors, radiation hardened",6A102,,,,
Optical detectors & sensors,6A002,,,,
Optical element inspection or testing equipment and components,3B992a,,,,
Optical element manufacturing equipment and components,3B991a,,,,
"Optical elements, aspheric",6A004e,,,,
Optical equipment,6A005f,,,,
Optical equipment,6B004,,,,
Optical equipment other than optical surface scattering measurement equipment,6B004b,,,,
Optical fabrication technologies,6E003d2,,,,
Optical fabrication technologies,6E993a,,,,
Optical fiber characterization equipment,5A991b Note b3,,,,
Optical fiber couplers or connectors for underwater use,8A002c,,,,
"Optical fiber & accessories, communications",5A001c,,,,
Optical fiber preforms,6C994b,,,,
Optical fiber preforms,5C991,,,,
"Optical fibers/fiber cable, sensing",6A002d3,,,,
"Optical fiber sensing elements, hydrophones",6A001a2a2,,,,
Optical filters,6A994a,,,,
Optical filters technology,6E993b,,,,
Optical finishing processes,2B002d,,,,
Optical (Infrared) tracking (range) radars,6A108b2,,,,
Optical integrated circuits,3A001a6,,,,
Optical materials,6C994,,,,
"Optical materials, with non-linear characteristics",6C004b3,,,,
Optical mirrors (reflectors),6A004a,,,,
Optical mirrors (reflectors),6A005e2,,,,
Optical sensing fibers not controlled by 6A002,6C992,,,,
Optical Sensors,6A992,,,,
Optical sensor cryocoolers,6A002d1,,,,
Optical sensors - flight control systems - technology,7.00E+04,,,,
"Optical sensors, optical fiber",6A002d3,,,,
Optical sensor materials,6C002,,,,
Optical sighting devices for firearms,0A987,,,,
Optical surface coating/treatment technology,6E003d1,,,,
Optical switching equipment,5A991c10c,,,,
"Optical switching equipment, technology for the development of equipment employing",5E001c3,,,,
"Optical-electro shutters, Kerr or Pockel cells",6A203b3c,,,,
Optics,6A994,,,,
"Optics, (optical components)",6A004,,,,
Optimization of rocket systems trajectory technology,7.00E+104,,,,
Organic fibers & filamentary materials,1C010a,,,,
Organic matrix,1A002a,,,,
Organo-metallic compounds,3C003,,,,
Oropouche virus,1C351a27,,,,
Oscillators or oscillator assemblies,3A001b10,,,,
Oscilloscopes (high-speed),3A002a7,,,,
Oscilloscopes (analog and digital),3A292,,,,
Oxide matrix reinforced materials,1C007f,,,,
Oxygen Iodine (O2-I) laser,6A005d5c1,,,,
PABXs (Private Automatic Branch exchanges),5A991c,,,,
Packet switching equipment,5A991c10,,,,
"Parachutes, military",9A610h,,,,
Paraffin wax,1C980,,,,
Parametric technical databases,1E002g,,,,
Particle accelerators,1B999b,,,,
Particle flow detection microphone,6A005g,,,,
Passenger seats for military aircraft,9A610y16,,,,
Particle measuring systems employing lasers,3B992b7,,,,
Parts for “600 series” or defense articles,3A611y,,,,
Passive coherent location systems or equipment,5A001g,,,,
"Passive sensors, direction finding systems",7A115,,,,
Passive acoustic systems,6A001a1d,,,,
"Pathogens, genetically modified microorganisms",1C353a,,,,
"Pathogens, animal",1C352,,,,
"Pathogens, human",1C351,,,,
"Pathogens, plant",1C354,,,,
"Pathogens, zoonotic",1C351,,,,
PBAA (Polybutadiene-acrylic acid),1C111b3,,,,
PBAN (Polybutadiene-acrylic acid-acrylonitrile),1C111b4,,,,
PEEK (Polyether ether ketone),1C998,,,,
PEK (Polyether ketone),1C998,,,,
PEKEKK (Polyether ketone ether ketone ketone),1C998,,,,
PEKK (Polyether ketone ketone),1C998,,,,
"1,1,3,3,3-Pentafluoro-2-(trifluoromethyl)-1-propene (382-21-8) (PFIB)",1C355a1a,1E355a1,,,
"Perfluoroaliphatic-ethers, monomeric or polymeric",1C006d1a,,,,
Perfluoroalkanes,1C006d1d,,,,
Perfluorocycloalkanes,1C006d1c,,,,
"Perfluoropolyalkylether-triazines, monomeric or polymeric",1C006d1a,,,,
"Performance improvement software, navigation systems",7D003a,,,,
"Performance improvement source code, navigation systems",7D003b,7D004,,,
Peronosclerospora philippinensis (a.k.a. Peronosclerospora sacchari),1C354b7,,,,
Peste des petits ruminants virus,1C352a10,,,,
Petroleum products produced or derived from Naval Petroleum Reserves,1C982,,,,
"Petroleum, crude or reconstituted",1C981,,,,
"PFIB (1,1,3,3,3-Pentafluoro-2-(trifluoromethyl)-1-propene (382-21-8)",1C355a1a,,,,
Phased array antennae (in radar),6A008e,,,,
Phased array/segment mirror control equipment,6A004d4,,,,
Phased array antennae (in radar),5A001d,,,,
Phased array antennae,5A991f,,,,
"Phenylene, as lubricating fluids",1C006b1,,,,
Phoma glycinicola (formerly Pyrenochaeta glycines),1C354b12,,,,
Phosgene: Carbonyl dichloride (75-44-5),1C355b1a,1E355b1,,,
Phosphate glass,6C004e,,,,
Phosphor bronze or copper mesh packings,1A226,,,,
"Phosphor image plates, storage",1A999b,,,,
Phosphorus hydrides,3C004,,,,
Phosphorus oxychloride,1C350c3,,,,
Phosphorus pentachloride,1C350c4,,,,
Phosphorus pentasulphide,1C350d10,,,,
Phosphorus trichloride,1C350c5,,,,
Photo-enhanced CVD equipment,3B991b1i,,,,
Photo-enhanced diffusion equipment,3B991b1g,,,,
Photo-optical step and repeat cameras,3B991b2d1,,,,
Photocathodes,6A002a2c,,,,
"Photographic still cameras, underwater",8A001e,,,,
"Photographic still cameras, for underwater use",8A992b,,,,
Photomultiplier tubes,6A202,,,,
"Photovoltaic arrays, space qualified or radiation hardened",3A001e4,,,,
"Physics-based simulation “software” specially designed for the “development” of lithographic, etching or deposition processes",3D003,,,,
"Piezoelectric polymer & copolymer, made from vinylidene fluoride materials",1A001b,,,,
"Piezoelectric sensing elements, hydrophones",6A001a2a2b,,,,
Pinacolone,1C350d11,,,,
Pinacolyl alcohol,1C350b18,,,,
"Piping, austenitic stainless steel",2B999n,,,,
"Piping, fittings and valves of or lined with stainless steel, copper-nickel alloy or other alloy steel",2A292,,,,
"Piping, monel",2B999f,,,,
"Piping, multi-walled incorporating a leak detection port",2B350h,,,,
"Piping, stainless steel",2B999g,,,,
"Piping, vacuum",2B999k,,,,
Pitch-impregnated fibers,1C010e,,,,
Planar absorbers,1C001a Note 1,1C001c,1C001d,,
"Plant pathogens, bacteria or fungi",1C354,,,,
PLAs (Programmable Logic Arrays),3A001a8,,,,
Plasma atomization & melting furnaces,2B227b,,,,
Plasma dry etching equipment,3B001c,,,,
Plasma-enhanced CVD (PECVD) equipment,3B991b1i,,,,
Plasma enhanced or plasma assisted CVD production equipment,2B005a1c,,,,
"Plasma spraying production equipment, with controlled atmosphere",2B005d,,,,
"Platforms, complete",9A992,9A610h,,,
Platinized catalysts,1A225,,,,
"Plugs, mechanical",3A611y30,,,,
Plutonium metal production systems,0B006g,,,,
Plutonium nitrate conversion systems,0B006f,,,,
Pocket cell electro-optical shuttering,6A203b3c,,,,
Police helmets and shields,0A979,,,,
Polyarylene ketones,1C008d,,,,
Polybiphenylenethersulphone,1C008f,,,,
Polybromotifluoroethylene,1C006c3,,,,
Polybutadiene-acrylic acid (PBAA),1C111b3,,,,
Polybutadiene-acrylic acid-acrylonitrile (PBAN),1C111b4,,,,
Polycarbosilazanes,1C007e3,,,,
Polychlorotrifluoroethylene,1C006c2,,,,
Polycrystalline alimina fibers,1C010c Note 1,,,,
Polycrystalline silicon and materials production equipment,3B991b1a,,,,
"Polydiorganosilanes, precursor for silicon carbide",1C007e1,,,,
Polyether ketone ether ketone ketone (PEKEKK),1C998,,,,
Polyether ketone (PEK),1C998,,,,
Polyether ether ketone (PEEK),1C998,,,,
Polyether ketone ketone (PEKK),1C998,,,,
"Polyetherimides, fibrous & filamentary materials composed of",1C010d1a,,,,
Polygraphs,3A981,,,,
Polymeric or metallo-organic materials,1C007e,,,,
Polymeric substances,1C111b,,,,
"Polymeric substances, non-fluorinated",1C008,,,,
"Polymeric substances, non-fluorinated",1C998,,,,
"Polysilazanes, precursor for silicon nitride",1C007e2,,,,
Polythiophene,1C001c3,,,,
Porcine enterovirus type,91C352a11,,,,
Porcine herpes virus (Aujeszky’ disease),1C352a6,,,,
Porous nickel metal,1C240,,,,
Portable electric generator development or production software,2D994,,,,
Portable electric generators,2A994,,,,
"Positioning equipment/components, global",7A005,,,,
Positioning equipment,7A105,,,,
"Positioning systems, acoustic",6A001a1d,,,,
Positioning tables or rate tables,2B120,,,,
Positioning tables or rate tables,2B121,,,,
Positive resists for semiconductor lithography,3C002a1,,,,
Post-flight data processing software,6D103,,,,
Potassium cyanide,1C350d12,,,,
Potassium bifluoride,1C350d14,,,,
Potassium fluoride,1C350d13,,,,
Potassium hydrogen fluoride see potassium bifluoride,1C350d14,,,,
Potassium titanyl arsenate (KTA),6C004b1,,,,
Potato Andean latent tymovirus (Andean potato latent virus),1C354c1,,,,
Potentiometer,3A611y7,,,,
Powassan virus,1C351a28,,,,
Powder metallurgy rotor component manufacturing equipment,9B009,,,,
"Power generating equipment, nuclear reactor",0A002,,,,
"Power supplies, direct current high power (dc)",3A226,,,,
"Power supplies, direct current high-voltage",3A227,,,,
"Power systems, air independent, for underwater use",8A002j,,,,
"Power transmission shaft systems, marine",8A002o1,,,,
"Power transmission shaft systems, marine",8A002o1e,,,,
Precision mandrels for filament winding machines,1B201,,,,
Precision rotor forming mandrels,2B209b,,,,
"Precision tracking systems, usable for missiles",6A108b,,,,
Precursors for toxic chemical agents,1C350,,,,
Preform production equipment,1B101d,,,,
"Preforms, metal coated, for fiber prepregs in 9C110",9C110,,,,
Preforms production equipment,1B001,,,,
"Preforms production equipment, n.e.s.",1B999e,,,,
"Preforms production equipment controlled by 1B999, software for",1D999b,,,,
"Preforms, fibrous or filamentary materials",1C010e,,,,
"Preforms, glass for optical fibers",5C991,,,,
Preforms for space vehicles (metal coated fiber),9A110,,,,
"Preforms, fibrous or filamentary materials",9A110,,,,
"Preforms, metal coated fiber (for propulsion systems)",9A110,,,,
Prepreg production equipment,1B001e,,,,
Prepreg production equipment,1B101d,,,,
"Prepregs production equipment, n.e.s.",1B999e,,,,
"Prepregs production equipment controlled by 1B999, software for",1D999b,,,,
"Prepregs, fibrous or filamentary materials",1C010e,,,,
"Prepregs, resin impregnated fiber, for 9A110 items",9C110,,,,
Prepregs production equipment,1B001,,,,
"Prepregs, when impregnated with phenolic or epoxy resins",1C010e Note 2,,,,
"Prepregs, fibrous or filamentary materials",9A110,,,,
"Presses, hot isostatic",2B204,,,,
"Presses, hot isostatic",2B104,,,,
"Presses, hot isostatic",2B004,,,,
"Presses, hot isostatic n.e.s.",2B999a,,,,
Pressure transducers,2B230,,,,
"Pressure regulators, air cylinders, hoses, valves and backpacks",8A992h,,,,
"Pressure sensors, manganin & quartz",6A226,,,,
Primary cells and secondary cells,3A001e1a,3A991j,,,
"Printed circuit boards for numerical control units, machine tools or feed back devices",2B998c,,,,
Printed circuit boards & populated circuit card assemblies,3A611g,6A611y15,,,
Private automatic branch exchanges (PABXs),5A991c,,,,
"Probing (test) systems, semiconductor devices",3B002d,,,,
"Process control instrumentation, for reprocessing plant",0B006d,,,,
Process control hardware/systems designed for power industries,1B999,,,,
"Process control hardware/systems designed for power industries controlled by 1B999, software for",1D999a,,,,
Process control systems for use in nuclear reactor equipment,2A290b,,,,
Process control systems for use in nuclear material handling and processing equipment,2A291a,,,,
Processing equipment for bay or bottom cable systems,6A001a2e3,,,,
"Processors, digital array",3A001a3 Note,,,,
"Processors, digital signal",3A001a3 Note,,,,
"Processors, digital signal",4A003,,,,
"Processors, digital array",4A003,,,,
"Production facilities, reentry vehicles",9B116,,,,
"Production equipment, propulsion systems & components",9B115,9B619,,,
"Production equipment, reentry vehicles",9B115,,,,
"Production facilities, rockets/propulsion systems",9B116,,,,
Profilometers,7B002b,,,,
Program proof and validation software for real time processing equipment,4D993,,,,
"Programmable gate & logic arrays (FPGA's & FPLA's), field",3A001a7,,,,
"Programmable & logic arrays (FPGA's & FPLA's), field",3A001a8,,,,
Programmable logic devices (PLD),3A611f,3A611y14,,,
Programming controls for filament winding machines,1B201,,,,
Projectile accelerators,2B232,,,,
Projection image transfer equipment,3B991b2g,,,,
"Projection telescopes, laser diagnostics",6A005f4,,,,
"Projectors, acoustic",6A001a1c,,,,
Proppant,0A998b2,,,,
"Prolifometers, to characterize mirrors for laser gyro equipment",7B102c,,,,
Propellant additives and agents,1C111c,,,,
Propellants and constituent materials,1C111,,,,
Propellant (liquid) production equipment and components,1B115,,,,
Propellant (liquid) test and handling equipment and components,1B115,,,,
Propellant (solid) production equipment and components,1B117,,,,
Propellers and systems used with reciprocating engines for military aircraft,9A610y25,,,,
Propeller blades or propfans composite technology,9E003b2,9E610y,,,
Propeller noise reduction technology,8E002a,,,,
Propeller noise reduction software,8D002,,,,
"Propellers, contrarotating",8A002o1b,,,,
"Propellers, water screw",8A002o1,,,,
"Propulsion equipment, nuclear",0A002,,,,
"Propulsion systems/components, production equipment",9B115,8B619,,,
"Propulsion systems, rocket",9A005,,,,
"Propulsion equipment, underwater",8A992j,,,,
"Propulsion system components/structures, launch-vehicle",9A010,,,,
Propulsion system composite components/structures,9A110,9A619x,,,
Propulsion system use software,9D101,9D610a,,,
"Propulsion systems, rocket",9A009,,,,
"Propulsion systems, rocket",9A007,,,,
Propulsive substances,1C111a,,,,
Protective and detection equipment,1A004,1A995,2B351,,
"Protective clothing, Independently ventilated",2B352g1,,,,
"Protective suits, gloves, shoes",1A004,1A995,2B352g1,,
Proximity focused image intensifier tubes,6A203b3a,,,,
Pseudomonas mallei (Burkholderia mallei),1C351c5,,,,
Pseudomonas pseudomallei (Burkholderia pseudomallei),1C351c6,,,,
Psychological stress analysis equipment,3A981,,,,
Public Address (PA) systems for military aircraft,9A610y18,,,,
Public Address (PA) systems for submersible vessels,8A620y1,,,,
Public Address (PA) systems for surface vessels of war,8A609y1,,,,
Puccinia graminis ssp. graminis var. graminis / Puccinia graminis ssp. graminis var. stakmanii (Puccinia graminis [syn. Puccinia graminis f. sp. tritici]),1C354b4,,,,
Puccinia striiformis (syn. Puccinia glumarum),1C354b5,,,,
Pulsating Chemical Vapor Deposition production equipment,2B005a1a,,,,
Pulse amplifiers,3A999c,,,,
Pulse excited Q switched neodymium-doped lasers,6A205f,,,,
"Pulse generators, high-current for detonators",3A229,,,,
"Pulse generators, high-speed",3A230,,,,
Pulse jet engines/components,9A111,,,,
Pulse radar cross-section measurement systems & components,6B008,,,,
"Pulse shaping networks, high power",3A999c,,,,
Pulsed electron accelerators,3A201c,,,,
Pumpjet propulsion systems,8A002p,,,,
"Pumps, high pressure",0A998b3,,,,
"Pumps, liquid propellant",9A106d,,,,
"Pumps, lithium amalgam",1B233b2,,,,
"Pumps, mercury or lithium amalgam",1B233b2,,,,
"Pumps, multiple-seal",2B350i,,,,
"Pumps, potassium amide in liquid ammonia",1B230,,,,
"Pumps, seal-less",2B350i,,,,
"Pumps, vacuum",2B231,,,,
"Pumps, vacuum",2B350i,,,,
Pumps designed for industrial service,2B999j,,,,
Pumps designed to move molten metals by electromagnetic force,2A293,,,,
Pyrolitic deposition nozzles,1B116,,,,
"Pyrolitic deposition systems (“isostatic presses”, other than those controlled by 2B004)",2B104,,,,
"Pyrolitic deposition systems (chemical vapor deposition furnaces, other than those controlled by 2B005.a)",2B105,,,,
"Pyrolitic deposition systems, for rocket nozzles and reentry vehicle nose tips",2B117,,,,
Pyrolitically derived materials production technology,1.00E+104,,,,
Pyrolized carbon-carbon components,1A102,,,,
Pyrolized carbon-carbon materials,1C102,,,,
"Pyrolysis equipment, for rocket nozzles and reentry vehicle nose tips (“isostatic presses”, other than those controlled by 2B004)",2B104,,,,
"Pyrolysis equipment, for rocket nozzles and reentry vehicle nose tips (chemical vapor deposition furnaces, other than those controlled by 2B005.a)",2B105,,,,
"Pyrolysis equipment, for rocket nozzles and reentry vehicle nose tips (other than those controlled by 2B004, 2B005.a, 2B104, or 2B105",2B117,,,,
"Pyrolysis process control equipment, for “isostatic presses”, other than those controlled by 2B004",2B104,,,,
"Pyrolysis process control equipment, for chemical vapor deposition furnaces, other than those controlled by 2B005.a",2B105,,,,
"Pyrolysis process control equipment (other than those controlled by 2B004, 2B005.a, 2B104, or 2B105)",2B117,,,,
"Pyrotechnic articles, dual use",1A984,,,,
"Pyrotechnic devices, commercial",1C608j,1C992k,,,
QRS11-00100-100/101 Micromachined Angular Rate Sensors,7A994,,,,
Q-switched lasers,6A005a,6A005b,,,
Q-switched lasers,6A205f,,,,
Quadrature-amplitude-modulation (QAM) based radio equipment operating above level 4,5A991b7a,,,,
Quadrature-amplitude- modulation (QAM) based radio equipment operating above level 16,5A991b7b,,,,
Quadrature-amplitude-modulation (QAM) based radio equipment,5A991b7,,,,
"Quadrature-amplitude-modulation (QAM) based radio equipment, equipment for the development of",5B001b4a,,,,
"Quadrature-amplitude-modulation (QAM) based radio equipment, software for the development of",5D001d4a,,,,
"Quadrature-amplitude-modulation (QAM) based radio equipment, technology for the development of",5E001c4a,,,,
Quantum cryptography,5A002a9,,,,
Quartz pressure sensors/transducers,6A226b,,,,
3-Quinuclidinol,1C350b19,,,,
3-Quinuclidone,1C350d15,,,,
Rabies virus (and all other members of the Lyssavirus genus),1C352a8,,,,
"Radar cross section measurement systems, missile",6B108,,,,
"Radar, high frequency (HF) surface wave",3A611e,,,,
Radar systems & components,6A008,,,,
Radar altimeters,7A106,,,,
Radar software,6D003h,,,,
"Radar systems, employing signal processing",6A008h,,,,
Radial ball bearing,2A101,,,,
"Radiation detection, monitoring and measurement equipment",1A999a,,,,
Radiation hardened detectors,6A002,,,,
Radiation hardened detectors,6A102,,,,
Radiation hardened designed (or rated) robots,2B007c,,,,
Radiation hardened electronic computers,4A001a2,,,,
Radiation hardened integrated circuits,3A001a1,9A515d,9A515e,,
Radiation hardened sensors,6A002,,,,
Radiation hardened TV cameras,6A203d,,,,
Radiation hardened TV cameras not specified in 6A203,6A999b,,,,
"Radiation transport calculations/modeling, software for",0D999b,,,,
"Radiation sensors, optical fibers",6A002d3,,,,
Radiation shielding windows,1A227,,,,
Radio frequency monitoring equipment,5A001f4,,,,
Radio frequency transmitting equipment,5A001h1,,,,
Radio equipment,5A001b2,5A001b3,5A001b4,,
Radio equipment,5A991b6,5A991b7,,,
Radio relay communications equipment,5A991h,,,,
"Radio, shortwave technology",5E001c4c,,,,
Radio systems development/production technology,5E001b3,,,,
Radiographic detection equipment,1A999b,,,,
Radiographic equipment,3A101b,,,,
"Radionuclides, alpha-emitting",1C236,,,,
"Radionuclides, alpha-emitting, n.e.s.",1C999g,,,,
"Radium-226, compounds, mixtures, products or devices",1C237,,,,
Radome design software,6D003h2,,,,
Radomes usable in protecting missiles against nuclear effects,6A103,,,,
Rafts (life) for military aircraft,9A610y12,,,,
"Ralstonia solanacearum, race 3, biovar 2",1C354a5,,,,
Raman shift lasers,6A205e,,,,
Ramjet engines/components,9A011,,,,
"Range gated illumination systems, underwater",8A002d2,,,,
Range instrumentation radars,6A108b2,,,,
"Rankine cycle engine, air independent",8A002j1,,,,
Rate tables and positioning tables,2B121,,,,
"Rate tables, positioning tables, and motion simulators",2B120,,,,
Rathayibacter toxicus,1C354a6,,,,
"Reactor vessels, chemical",2B350a,,,,
Read-out integrated circuits (ROICs),6A990,,,,
Real time processing,2D002b,,,,
Real time processing operating systems,4D993c,,,,
Real time processing equipment operating system software,4D993c,,,,
Real time processing proof and validation software,4D993,,,,
Rebreathing apparatus specially designed for military use,8A620f,,,,
"Receivers, microwave test",3A002f,,,,
"Receivers, radio",5A001b2,5A001b3,5A001b4,,
Reciprocating diesel engine & component technology,9E003e1,,,,
Reconstructed replication competent forms of the 1918 pandemic influenza virus containing any portion of the coding regions of all eight gene segments,1C351b1,,,,
"Recording equipment, analog & digital tape recorders",3A002a,,,,
Recovery of source code - software,5D001c2,,,,
Red dot sights,0A987,,,,
Reduced observables analysis software,1D103,,,,
"Reduction gearing, light-weight marine transmissions",8A002o1d,,,,
Reentry vehicles & equipment,9A116,,,,
"Reentry vehicles/components, production equipment",9B115,,,,
"Reflectance measuring equipment, absolute",6B004,,,,
Reflectivity (electromagnetic) reducing materials,1C101,,,,
"Reflectometers, mirror characterization",7B102b,,,,
"Reflectors (mirrors), optical",6A004a1,,,,
Reflex sights,0A987,,,,
"Refrigeration units, hydrogen or helium",1B231b1,,,,
Reinforced composite materials,1C007f,,,,
"Reinforcement fiber, production equipment",1B001d,,,,
"Release mechanisms, electronic",9A992,9A610h,,,
Remote manipulators,2B225,,,,
Remotely operated vehicles,1A006a,,,,
"Remotely operated filling equipment, chemical",2B350f,,,,
"Remotely piloted vehicles (RPVs), non-military",9A012,,,,
"Remotely controlled manipulators, for submersibles",8A002i,,,,
Repeater/regenerator equipment,5A991b Note a4 or 5,,,,
"Reprocessing plant, nuclear fuel",0B006,,,,
Resaturated pyrolized components,1A102,,,,
Resaturated pyrolized materials,1C102,,,,
Resin impregnated fiber prepregs for 9A110 items,9C110,,,,
